id,language,Meta-Llama-3-8B-Instruct-hate-personas-annotator_4
amh_6713e86058c564a4b874dd62227b7fbc,amh,"['no', 'no', 'no', 'no', 'no']"
amh_50c28694a056e584ee76da86ed1875ef,amh,"['no', 'no', 'no', 'no', 'no']"
amh_3fe8faab2cf4c60b9bed28eed5f1c864,amh,"['no', 'no', 'no', 'no', 'no']"
amh_9b7badaab07f0e9e3dd77b99894bbb9d,amh,"['no', 'no', 'no', 'no', 'no']"
amh_be6049aa059a1ccfce6077d0cb8fd9f2,amh,"['no', 'no', 'no', 'no', 'no']"
amh_1d92c7b374ec66810d2a7f8575482c2e,amh,"['no', 'no', 'no', 'no', 'no']"
amh_1531dfe324641aa1ac8992cee693ecf3,amh,"['no', 'no', 'no', 'no', 'No']"
amh_9cf75cf4d2bbacb619e187e11059001f,amh,"['no', 'no', 'no', 'no', 'no']"
amh_07faa872b5e7f63443f8486b292703e5,amh,"['no', 'no', 'no', 'no', 'no']"
amh_d45535621bf699693f420beedc7c49cf,amh,"['no', 'no', 'no', 'no', 'no']"
